neighborhood,2015,2016,2017,2018,2019,2020,2021,2022
Centrum,175000,173000,181000,195000,212000,231000,244000,264000
Valkenberg,187000,184000,192000,209000,225000,237000,250000,271000
Chassé,218000,221000,228000,246000,271000,291000,302000,324000
Fellenoord,131000,131000,131000,143000,160000,181000,193000,211000
Schorsmolen ,134000,132000,138000,149000,160000,182000,193000,211000
Station,190000,181000,200000,215000,232000,247000,258000,280000
City,188000,185000,192000,205000,219000,242000,261000,277000
Belcrum,209000,198000,218000,242000,268000,290000,320000,341000
Doornbos-Linie,143000,142000,149000,161000,178000,194000,220000,245000
Biesdonk,141000,141000,142000,149000,154000,170000,180000,211000
Geeren-zuid,139097,136156,140319,146436,156000,170000,189000,205000
Wisselaar,147000,143000,146000,153000,165000,182000,201000,223000
Krogten,280000,281000,304000,310000,321000,390000,392000,412000
Geeren-noord,147000,142000,145000,153000,159000,178000,194000,211000
Waterdonken,244000,244000,258000,270000,304000,328000,352000,373000
Brabantpark,179000,184000,192000,206000,214000,230000,246000,268000
Sportpark,292000,296000,315000,334000,360000,387000,412000,435000
Zandberg,333000,341000,360000,388000,422000,457000,483000,509000
Heusdenhout,195000,197000,207000,218000,237000,255000,267000,286000
Moleneind-oost,0,0,0,0,0,398000,418000,442000
Hoogeind,0,0,0,0,0,0,0,0
Blauwe Kei,250000,253000,270000,285000,315000,342000,363000,387000
Ypelaar,202000,203000,215000,232000,254000,280000,292000,318000
Overakker,249000,252000,262000,287000,315000,346000,269000,395000
Ginneken,372000,381000,406000,430000,461000,500000,535000,554000
Mastbos,582000,591000,623000,648000,671000,698000,673000,706000
Boeimeer,262000,259000,278000,303000,323000,348000,370000,397000
Ruitersbos,424000,416000,439000,467000,499000,541000,563000,617000
Haagpoort,162000,164000,172000,184000,201000,218000,243000,250000
Heuvel,150000,151000,158000,171000,188000,210000,230000,249000
Tuinzigt,145000,145000,138000,149000,164000,175000,193000,210000
Princenhage,225000,227000,228000,245000,268000,292000,317000,337000
Westerpark,233000,232000,243000,259000,273000,292000,313000,335000
Heilaar,587000,579000,601000,606000,636000,668000,709000,678000
Hazeldonk,0,0,0,0,0,0,396000,437000
Steenakker,506000,500000,521000,196000,240000,228000,246000,266000
Effen-Rith,431000,430000,438000,456000,482000,507000,520000,556000
Liesbos,477000,363000,389000,407000,426000,453000,517000,552000
Gageldonk,183000,181000,189000,203000,215000,231000,249000,270000
Kievitsloop,184000,183000,190000,203000,213000,234000,255000,276000
Kesteren,158000,157000,165000,173000,181000,199000,217000,234000
Muizenberg,200000,194000,200000,215000,223000,245000,265000,288000
Heksenwiel,218000,215000,222000,232000,246000,266000,286000,310000
Overkroeten,223000,220000,229000,242000,255000,275000,295000,314000
Kroeten,232000,229000,235000,251000,263000,280000,297000,325000
Emer,0,0,0,0,0,397000,426000,451000
Hagebeemd,502000,483000,502000,535000,524000,515000,553000,596000
Bavel,302000,305000,312000,337000,369000,393000,420000,442000
Niew Wolfslaar,386000,395000,412000,439000,477000,507000,536000,566000
Buitengebied Bavel,517000,521000,528000,556000,594000,602000,656000,691000
Ulvenhout,354000,357000,372000,398000,428000,452000,482000,513000
Buitengebied Ulvenhout,471000,471000,493000,520000,634000,581000,604000,634000
Prisenbeek,287000,287000,298000,315000,338000,361000,383000,405000
Buitengebied Prinsenbeek,484000,485000,503000,537000,555000,581000,597000,642000
Teteringen,288000,291000,308000,329000,355000,378000,405000,434000
Vuchtpolder,0,0,0,0,0,587000,584000,596000
Buitengebied Teteringen,0,0,0,0,0,689000,721000,765000
