,neighborhood,Accidents (road),Encroachment on public order,Fraud (other),Horizontal Fraud,Human trafficking,Nature and landscape,Quality of life (other),Road (other),Spatial planning,Special Laws,Transport of hazardous substances,Under the influence (water),Abuse,Air (other),Animals,Arms Trade,Building materials,Cybercrime,Destruction or. property damage,Discrimination,Domestic Violation,Drug trafficking,Drugs/drink nuisance,Fire/Explosion,Fireworks,Food safety,Home theft/burglary,Immigration care,Most,Motor Vehicle Theft,"Murder, Manslaughter",Neighbor rumor (relationship problems),Open violence (person),Other property crimes,People smuggling,Pesticides,Pickpocketing,Robbery,Shoplifting,Soil,Street robbery,Structure of the Environmental Management Act,Theft from/from motor vehicles,Theft from/from/from ov. vehicles,"Theft of mopeds, mopeds and bicycles",Theft/burglary box/garage/shed,"Theft/burglary of companies, etc.",Thefts (water),Threat,Total felonies,Under the influence (air),Under the influence (away),Vertical Fraud,Waste,Water
0,Bavel,37,0,0,54,0,0,0,5,0,0,0,0,14,0,0,1,0,22,27,0,2,3,0,0,0,0,47,0,0,2,0,0,0,18,0,0,6,0,20,0,0,0,37,8,15,4,5,0,16,366,0,12,0,0,0
1,Belcrum,30,9,1,31,1,0,0,6,0,2,0,0,22,0,0,5,0,3,27,0,3,7,0,0,0,0,10,0,0,5,0,0,0,55,0,0,5,0,16,0,1,0,10,7,71,3,5,0,18,385,0,12,0,0,0
2,Biesdonk,57,3,0,20,0,0,2,5,0,0,0,0,10,0,0,2,0,4,25,0,11,6,0,3,0,0,5,0,0,2,0,0,1,16,0,0,3,1,146,0,2,0,17,1,23,13,2,0,15,408,0,5,0,0,0
3,Blauwe Kei,22,0,0,17,0,0,0,4,0,0,0,0,1,0,0,0,0,3,10,0,1,0,0,0,0,0,11,0,0,1,0,0,0,5,0,0,0,0,3,0,0,0,8,1,14,0,2,0,12,124,0,4,0,0,0
4,Boeimeer,28,2,0,20,0,0,1,0,0,0,0,0,11,0,0,0,0,5,24,0,0,4,0,0,0,0,10,0,0,3,0,1,0,18,0,0,1,0,0,0,0,0,54,0,28,11,1,0,7,241,0,7,0,0,0
5,Brabantpark,55,3,0,57,0,0,0,4,0,0,0,0,13,0,0,6,0,11,41,0,1,7,0,4,0,0,13,0,0,7,1,0,1,32,0,0,1,0,28,0,1,0,45,5,51,6,7,0,18,432,0,7,0,0,0
6,Breda,1110,127,9,979,20,0,12,183,0,52,3,0,566,0,4,89,0,148,860,11,50,193,12,54,7,0,272,4,0,103,40,1,43,1133,4,0,235,9,570,0,19,1,838,185,1253,189,139,5,329,10752,0,566,3,0,0
7,Breda centrum,169,79,2,132,2,0,2,23,0,10,0,0,244,0,0,18,0,16,176,4,10,34,0,10,0,0,23,2,0,8,4,0,17,427,1,0,194,3,153,0,6,0,154,42,508,34,36,3,58,2850,0,126,2,0,0
8,Breda noord,198,21,3,137,2,0,3,34,0,11,0,0,88,0,1,17,0,15,159,3,23,36,0,11,0,0,46,1,0,20,2,0,4,156,0,0,12,3,214,0,5,0,126,25,140,53,19,0,71,1765,0,50,0,0,0
9,Breda noord-west,104,13,2,138,12,0,1,24,0,9,0,0,46,0,1,20,0,10,103,1,2,29,3,6,6,0,22,0,0,6,5,0,2,74,1,0,1,2,9,0,0,1,55,16,51,3,7,1,43,950,0,80,0,0,0
10,Breda oost,153,4,0,130,0,0,0,9,0,2,0,0,40,0,1,9,0,25,92,0,3,14,0,8,0,0,37,0,0,19,7,0,3,82,0,0,7,0,44,0,3,0,115,36,162,19,31,0,44,1179,0,58,1,0,0
11,Breda west,227,5,1,172,4,0,3,51,0,11,3,0,64,0,0,16,0,29,168,3,8,50,7,17,1,0,53,1,0,26,10,0,6,256,2,0,9,1,80,0,4,0,183,40,222,52,23,1,57,2051,0,140,0,0,0
12,Breda zuid,46,2,0,32,0,0,2,8,0,2,0,0,14,0,0,2,0,6,28,0,0,7,0,0,0,0,22,0,0,6,0,1,1,31,0,0,1,0,0,0,0,0,63,1,37,12,6,0,8,371,0,25,0,0,0
13,Breda zuid-oost,109,2,0,103,0,0,1,9,0,0,0,0,39,0,0,1,0,19,79,0,3,8,0,0,0,0,24,0,0,8,7,0,3,43,0,0,3,0,45,0,0,0,74,11,86,2,7,0,22,750,0,28,0,0,0
14,Buitengebied Bavel,15,0,0,2,0,0,0,3,0,0,0,0,5,0,0,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,5,0,0,6,0,0,0,0,0,10,2,3,2,1,0,0,70,0,11,0,0,0
15,Buitengebied Prinsenbeek,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,19,0,6,0,0,0
16,Buitengebied Teteringen,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,12,0,0,0,0,0
17,Buitengebied Ulvenhout,8,1,0,3,0,0,0,6,0,3,0,0,1,0,0,3,0,0,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,48,0,8,0,0,0
18,Chassé,41,1,0,52,1,0,1,4,0,6,0,0,14,0,0,4,0,3,39,1,3,6,0,4,0,0,5,1,0,2,0,0,1,32,0,0,5,0,48,0,2,0,38,0,80,16,7,0,11,466,0,27,1,0,0
19,City,35,62,0,25,0,0,0,2,0,0,0,0,163,0,0,7,0,4,40,1,4,9,0,2,0,0,4,1,0,0,2,0,15,214,0,0,137,1,88,0,2,0,39,12,179,6,21,0,17,1191,0,22,1,0,0
20,Doornbos-Linie,46,0,0,18,1,0,0,13,0,2,0,0,26,0,0,4,0,3,37,2,3,4,0,3,0,0,10,0,0,4,1,0,0,24,0,0,2,0,10,0,0,0,19,4,15,5,4,0,14,290,0,11,0,0,0
21,Effen-Rith,4,0,0,4,0,0,0,3,0,3,0,0,0,0,0,0,0,1,4,0,0,4,0,0,0,0,2,1,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,1,0,0,2,0,0,44,0,9,0,0,0
