title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categoryName,url,latitude,longitude
the Baron,4.0,241,Boschstraat 127,Breda,,NL,http://www.debaron.eu/,+31 76 520 0022,Cannabis store,"https://www.google.com/maps/place/the+Baron/@51.5915047,4.784692,17z/data=!3m1!4b1!4m6!3m5!1s0x47c69f82031750b5:0x5aaee5132b4eb15!8m2!3d51.5915047!4d4.784692!16s%2Fg%2F1tcxcdwq?hl=en&entry=ttu",51.5915047,4.784692
Pax,4.0,145,Nijverheidssingel 8,Breda,,NL,,+31 76 521 3239,Cannabis store,"https://www.google.com/maps/place/Pax/@51.5905749,4.7660596,17z/data=!3m1!4b1!4m6!3m5!1s0x47c69f88d4811a93:0x3b08fe7e05f229a0!8m2!3d51.5905749!4d4.7660596!16s%2Fg%2F1tl8jy7l?hl=en&entry=ttu",51.5905749,4.7660596
Coffeeshop Paradise,4.0,400,Sint Annastraat 3,Breda,,NL,https://m.facebook.com/hetparadijsbreda/,+31 76 514 1417,Cannabis store,"https://www.google.com/maps/place/Coffeeshop+Paradise/@51.588682,4.778114,17z/data=!3m1!4b1!4m6!3m5!1s0x47c69f872c04c2fb:0x3787ea553529a70e!8m2!3d51.588682!4d4.778114!16s%2Fg%2F1tdwjqpl?hl=en&entry=ttu",51.588682,4.778114
Sky Coffeeshop,3.6,217,Haagweg 56,Breda,,NL,https://facebook.com/skybreda/?locale2=nl_NL,+31 76 889 6565,Cannabis store,"https://www.google.com/maps/place/Sky+Coffeeshop/@51.584424,4.760052,17z/data=!3m1!4b1!4m6!3m5!1s0x47c6a021ca9822c1:0x8089a3c047d0a705!8m2!3d51.584424!4d4.760052!16s%2Fg%2F1td171fk?hl=en&entry=ttu",51.584424,4.760052
The Cat,4.4,388,Marterring 1,Breda,,NL,,+31 76 514 7464,Cannabis store,"https://www.google.com/maps/place/The+Cat/@51.5870036,4.805232,17z/data=!3m1!4b1!4m6!3m5!1s0x47c69f6196ce42a7:0x824be07e2da15e09!8m2!3d51.5870036!4d4.805232!16s%2Fg%2F1tdwzrmj?hl=en&entry=ttu",51.5870036,4.805232
Coffeeshop Majestic,3.6,353,Boschstraat 154,Breda,,NL,,,Cannabis store,"https://www.google.com/maps/place/Coffeeshop+Majestic/@51.5911128,4.784184,17z/data=!3m1!4b1!4m6!3m5!1s0x47c69f81f404baeb:0xebae93d0a02e49d!8m2!3d51.5911128!4d4.784184!16s%2Fg%2F1tfrlk7q?hl=en&entry=ttu",51.5911128,4.784184
Purple Rain,3.8,612,Willemstraat 12,Breda,,NL,,,Cannabis store,"https://www.google.com/maps/place/Purple+Rain/@51.5934956,4.7798798,17z/data=!3m1!4b1!4m6!3m5!1s0x47c69f838f6bc107:0xdf6212a40b0ea201!8m2!3d51.5934956!4d4.7798798!16s%2Fg%2F1v_0hzrj?hl=en&entry=ttu",51.5934956,4.7798798
Fly'n'Hy,4.1,415,Houtmarkt 23,Breda,,NL,,+31 76 520 0519,Cannabis store,"https://www.google.com/maps/place/Fly'n'Hy/@51.5864117,4.7773425,17z/data=!3m1!4b1!4m6!3m5!1s0x47c69f875804a929:0x79027beabc52a592!8m2!3d51.5864117!4d4.7773425!16s%2Fg%2F11b7lflk3y?hl=en&entry=ttu",51.5864117,4.7773425
Flamingoos,4.5,16,Sint Janstraat 5,Breda,,NL,http://www.flamingoos.nl/,+31 6 14202750,Gay bar,"https://www.google.com/maps/place/Flamingoos/@51.587782,4.7771591,17z/data=!3m1!4b1!4m6!3m5!1s0x47c69f87382807ad:0x6d17b2450d5ea927!8m2!3d51.587782!4d4.7771591!16s%2Fg%2F1tfk_dyh?hl=en&entry=ttu",51.587782,4.7771591
Beach & Lounge club Spider “rooftop bar”,,0,Nieuwe Prinsenkade,Breda,,NL,,,Bar,"https://www.google.com/maps/place/Beach+%26+Lounge+club+Spider+%E2%80%9Crooftop+bar%E2%80%9D/@51.5913405,4.771589,17z/data=!3m1!4b1!4m6!3m5!1s0x47c69f2fae50e6a5:0x5c8c01a2c392141b!8m2!3d51.5913405!4d4.771589!16s%2Fg%2F11j658lbnt?hl=en&entry=ttu",51.5913405,4.771589
Café Bar 't Keteltje,4.1,40,Vismarktstraat 4,Breda,,NL,https://barhetketeltje.nl/,+31 6 44171962,Cafe,"https://www.google.com/maps/place/Caf%C3%A9+Bar+'t+Keteltje/@51.589547,4.774286,17z/data=!3m1!4b1!4m6!3m5!1s0x47c69f864eb3f397:0x8793052b7ea446e6!8m2!3d51.589547!4d4.774286!16s%2Fg%2F1tnsr48m?hl=en&entry=ttu",51.589547,4.774286
Whisky & Gin Breda,4.9,72,Nieuwe Ginnekenstraat 18,Breda,,NL,https://www.whiskyandgin.nl/,+31 76 887 4868,Bar,"https://www.google.com/maps/place/Whisky+%26+Gin+Breda/@51.58223,4.7768449,17z/data=!3m1!4b1!4m6!3m5!1s0x47c6a17e549b843f:0x7f12a5cbb15507c!8m2!3d51.58223!4d4.7768449!16s%2Fg%2F11h915bksc?hl=en&entry=ttu",51.58223,4.7768449
CocktailWorkz | Cocktail workshop Breda | Cocktailbar,5.0,3,Ginnekenweg 311A,Breda,,NL,https://cocktailworkz.nl/,+31 6 57663506,Cocktail bar,"https://www.google.com/maps/place/CocktailWorkz+%7C+Cocktail+workshop+Breda+%7C+Cocktailbar/@51.5692195,4.7844509,17z/data=!3m1!4b1!4m6!3m5!1s0x47c6a13855c50b2d:0xff4d5dbc7f86de54!8m2!3d51.5692195!4d4.7844509!16s%2Fg%2F11nwyq31h7?hl=en&entry=ttu",51.5692195,4.7844509
't Piggenhuis,4.6,101,Nieuwstraat 19,Breda,,NL,,+31 6 12476270,Bar,"https://www.google.com/maps/place/''t+Piggenhuis'/@51.5868306,4.7747643,17z/data=!3m1!4b1!4m6!3m5!1s0x47c69f8783d50bf7:0x1b0801ecee8d8442!8m2!3d51.5868306!4d4.7747643!16s%2Fg%2F1tfzr3qb?hl=en&entry=ttu",51.5868306,4.7747643
Wijnlokaal Breda,5.0,2,Wilhelminastraat 52,Breda,,NL,https://mijnwijncursus.nl/,+31 76 530 0013,Wine bar,"https://www.google.com/maps/place/Wijnlokaal+Breda/@51.5788666,4.7782332,17z/data=!3m1!4b1!4m6!3m5!1s0x47c6a02c36f45e09:0x492b12347762d23a!8m2!3d51.5788666!4d4.7782332!16s%2Fg%2F11b77pmc62?hl=en&entry=ttu",51.5788666,4.7782332
Inspire Coffee Company B.V.,4.4,398,Veemarktstraat 4,Breda,,NL,https://www.inspirebreda.nl/,+31 76 515 3272,Bar,"https://www.google.com/maps/place/Inspire+Coffee+Company+B.V./@51.5880551,4.7769361,17z/data=!3m1!4b1!4m6!3m5!1s0x47c69f873ddea367:0x26839603f4d88c61!8m2!3d51.5880551!4d4.7769361!16s%2Fg%2F1tg80pc_?hl=en&entry=ttu",51.5880551,4.7769361
LOLO Pizzabar (AVPN certified),4.6,128,Ginnekenmarkt 4,Breda,,NL,http://www.lolobreda.nl/,+31 6 21910735,Pizza restaurant,"https://www.google.com/maps/place/LOLO+Pizzabar+(AVPN+certified)/@51.5675513,4.7854813,17z/data=!3m1!4b1!4m6!3m5!1s0x47c6a14874cabf45:0xfc038b6acda04aa4!8m2!3d51.5675513!4d4.7854813!16s%2Fg%2F11mhvsphd2?hl=en&entry=ttu",51.5675513,4.7854813
De Feestfabriek,4.2,182,Visserstraat 7,Breda,,NL,,,Pub,"https://www.google.com/maps/place/De+Feestfabriek/@51.5886665,4.7730547,17z/data=!3m1!4b1!4m6!3m5!1s0x47c69f87cfd769fb:0x9707d2e6903ad306!8m2!3d51.5886665!4d4.7730547!16s%2Fg%2F11dxkbbm79?hl=en&entry=ttu",51.5886665,4.7730547
Holy Moly Club,4.5,595,Torenstraat 17,Breda,,NL,https://holymolybreda.nl/,+31 76 887 5765,Restaurant,"https://www.google.com/maps/place/Holy+Moly+Club/@51.5888,4.7746938,17z/data=!3m1!4b1!4m6!3m5!1s0x47c69fa55dc38f33:0x5dc37a553ce257f3!8m2!3d51.5888!4d4.7746938!16s%2Fg%2F11mw7f0__b?hl=en&entry=ttu",51.5888,4.7746938
Café Nassau,3.6,181,Vismarktstraat 5,Breda,,NL,https://www.cafenassaubreda.nl/,,Pub,"https://www.google.com/maps/place/Caf%C3%A9+Nassau/@51.5895981,4.7738621,17z/data=!3m1!4b1!4m6!3m5!1s0x47c69f8649e748dd:0x8c723db367826c02!8m2!3d51.5895981!4d4.7738621!16s%2Fg%2F11bykym608?hl=en&entry=ttu",51.5895981,4.7738621
Gastrobar de Markt,4.1,459,Veemarktstraat 2,Breda,,NL,http://www.demarktbreda.nl/,+31 76 521 5122,Mediterranean restaurant,"https://www.google.com/maps/place/Gastrobar+de+Markt/@51.5880556,4.7766667,17z/data=!3m1!4b1!4m6!3m5!1s0x47c69f8715db4571:0xae9e376f267312c2!8m2!3d51.5880556!4d4.7766667!16s%2Fg%2F1pp2vdrjg?hl=en&entry=ttu",51.5880556,4.7766667
EsPintxos,4.2,120,Grote Markt 50,Breda,,NL,http://espintxos.com/,+31 76 887 8810,Tapas bar,"https://www.google.com/maps/place/EsPintxos/@51.5891662,4.776198,17z/data=!3m1!4b1!4m6!3m5!1s0x47c69fc209230dd9:0x2d803f86642bb3!8m2!3d51.5891662!4d4.776198!16s%2Fg%2F11t34st913?hl=en&entry=ttu",51.5891662,4.776198
Café Panting Deer,4.3,300,Pasbaan 7,Breda,,NL,http://www.hijgendhert.nl/,+31 76 514 1988,Pub,"https://www.google.com/maps/place/Caf%C3%A9+Panting+Deer/@51.589546,4.781871,17z/data=!3m1!4b1!4m6!3m5!1s0x47c69f81081b385f:0x18cfe6ff26837e5c!8m2!3d51.589546!4d4.781871!16s%2Fg%2F1w97tm5q?hl=en&entry=ttu",51.589546,4.781871
Café De Vrachtwagen,4.0,51,Reigerstraat 15,Breda,,NL,http://www.facebook.com/devrachtwagen,,Pub,"https://www.google.com/maps/place/Caf%C3%A9+De+Vrachtwagen/@51.5892675,4.7746336,17z/data=!3m1!4b1!4m6!3m5!1s0x47c69f86528f6bcf:0x2262d434c83d6069!8m2!3d51.5892675!4d4.7746336!16s%2Fg%2F1tfqq50_?hl=en&entry=ttu",51.5892675,4.7746336
HuizeMonopoly,5.0,3,Mauritsstraat 10A,Breda,,NL,,,Bar,"https://www.google.com/maps/place/HuizeMonopoly/@51.5923333,4.7846471,17z/data=!3m1!4b1!4m6!3m5!1s0x47c69fe86d5b7103:0xdea8f4b2675dad26!8m2!3d51.5923333!4d4.7846471!16s%2Fg%2F11j69cf6xp?hl=en&entry=ttu",51.5923333,4.7846471
Club Danza,3.7,15,Visserstraat 10,Breda,,NL,,,Bar,"https://www.google.com/maps/place/Club+Danza/@51.5885347,4.7732068,17z/data=!3m1!4b1!4m6!3m5!1s0x47c69f87c5f80b43:0x4cd4e1c8fc09b0dd!8m2!3d51.5885347!4d4.7732068!16s%2Fg%2F11cn0k0w7z?hl=en&entry=ttu",51.5885347,4.7732068
El Patio Breda,4.1,235,Haven 7,Breda,,NL,http://www.laperlabreda.nl/,+31 76 522 2094,Spanish restaurant,"https://www.google.com/maps/place/El+Patio+Breda/@51.5888048,4.7722991,17z/data=!3m1!4b1!4m6!3m5!1s0x47c69f87d6f4bdf1:0xa7e81b87d2aa0659!8m2!3d51.5888048!4d4.7722991!16s%2Fg%2F11d_7hkdly?hl=en&entry=ttu",51.5888048,4.7722991
