BUURT,price
Belcrum,4231
Biesdonk,2858
Blauwe Kei,4237
Boeimeer,4127
Brabantpark,3828
Chassé,4538
City,4313
Doornbos-Linie,3507
Effen-Rith,4496
Fellenoord,4491
Gageldonk,3186
Geeren-noord,3292
Geeren-zuid,3583
Ginneken,5074
Haagpoort,3989
Hagebeemd,0
Heilaar,0
Heksenwiel,3514
Heusdenhout,3350
Heuvel,3783
Kesteren,3376
Kievitsloop,3071
Kroeten,3472
Krogten,0
Liesbos,4685
Mastbos,5404
Moleneind-oost,0
Muizenberg,3292
Overakker,3918
Overkroeten,3427
Princenhage,3878
Ruitersbos,4394
Schorsmolen,4548
Sportpark,4428
Station,4822
Steenakker,0
Tuinzigt,3791
Valkenberg,4623
Waterdonken,3846
Westerpark,3572
Wisselaar,3093
Ypelaar,3482
Zandberg,4651
Ulvenhout,4470
Prinsenbeek,4099
Teteringen,3669
Bavel,4370
Buitengebied Bavel,0
Nieuw Wolfslaar,0
Buitengebied Ulvenhout,4555
Buitengebied Prinsenbeek,4812
Buitengebied Teteringen,3669
