,zones,catetgory,place,within,Value
1,Bavel,Childcare,Daycare centres,Within 1 km,1.7
2,Bavel,Childcare,Daycare centres,Within 3 km,5.5
3,Bavel,Childcare,Daycare centres,Within 5 km,34.6
5,Bavel,Childcare,Out-of-school care,Within 1 km,2.0
6,Bavel,Childcare,Out-of-school care,Within 3 km,5.8
7,Bavel,Childcare,Out-of-school care,Within 5 km,32.6
10,Bavel,Education,Primary education,Within 1 km,1.8
11,Bavel,Education,Primary education,Within 3 km,2.6
12,Bavel,Education,Primary education,Within 5 km,13.7
42,Bavel,Health and well-being,General Practitioner's Practice,Within 1 km,1.4
43,Bavel,Health and well-being,General Practitioner's Practice,Within 3 km,3.5
44,Bavel,Health and well-being,General Practitioner's Practice,Within 5 km,12.4
46,Bavel,Health and well-being,Hospital (excl. outpatient clinics),Within 10 km,2.0
47,Bavel,Health and well-being,Hospital (excl. outpatient clinics),Within 20 km,4.0
48,Bavel,Health and well-being,Hospital (excl. outpatient clinics),Within 5 km,1.0
50,Bavel,Health and well-being,Hospital (incl. outpatient clinics),Within 10 km,2.0
51,Bavel,Health and well-being,Hospital (incl. outpatient clinics),Within 20 km,6.0
52,Bavel,Health and well-being,Hospital (incl. outpatient clinics),Within 5 km,1.0
58,Bavel,Hospitality,Cafes etc.,Within 1 km,1.5
59,Bavel,Hospitality,Cafes etc.,Within 3 km,3.7
60,Bavel,Hospitality,Cafes etc.,Within 5 km,35.5
62,Bavel,Hospitality,Cafeterias etc.,Within 1 km,0.8
63,Bavel,Hospitality,Cafeterias etc.,Within 3 km,2.7
64,Bavel,Hospitality,Cafeterias etc.,Within 5 km,55.6
66,Bavel,Hospitality,Hotels etc.,Within 10 5km,18.3
67,Bavel,Hospitality,Hotels etc.,Within 20 km,43.2
68,Bavel,Hospitality,Hotels etc.,Within 5 km,5.2
70,Bavel,Hospitality,Restaurants,Within 1 km,1.8
71,Bavel,Hospitality,Restaurants,Within 3 km,4.3
72,Bavel,Hospitality,Restaurants,Within 5 km,70.7
74,Bavel,Leisure and culture,Cinema,Within 10 km,3.0
75,Bavel,Leisure and culture,Cinema,Within 20 km,6.1
76,Bavel,Leisure and culture,Cinema,Within 5 km,1.8
79,Bavel,Leisure and culture,Museum,Within 10 km,1.8
80,Bavel,Leisure and culture,Museum,Within 20 km,9.8
81,Bavel,Leisure and culture,Museum,Within 5 km,0.4
84,Bavel,Leisure and culture,Performing arts (excl. festivals),Within 10 km,3.0
85,Bavel,Leisure and culture,Performing arts (excl. festivals),Within 20 km,9.0
86,Bavel,Leisure and culture,Performing arts (excl. festivals),Within 5 km,1.0
90,Bavel,Leisure and culture,Recreation,Within 10 km,6.0
91,Bavel,Leisure and culture,Recreation,Within 20 km,9.9
92,Bavel,Leisure and culture,Recreation,Within 50 km,34.2
96,Bavel,Retail,Department store,Within 10 km,5.0
97,Bavel,Retail,Department store,Within 20 km,17.6
98,Bavel,Retail,Department store,Within 5 km,1.3
101,Bavel,Retail,Grocery stores,Within 1 km,0.9
102,Bavel,Retail,Grocery stores,Within 3 km,2.5
103,Bavel,Retail,Grocery stores,Within 5 km,16.0
104,Bavel,Retail,Grocery stores,Within 1 km,6.1
105,Bavel,Retail,Grocery stores,Within 3 km,13.3
106,Bavel,Retail,Grocery stores,Within 5 km,63.2
111,Belcrum,Childcare,Daycare centres,Within 1 km,4.3
112,Belcrum,Childcare,Daycare centres,Within 3 km,32.4
113,Belcrum,Childcare,Daycare centres,Within 5 km,79.3
115,Belcrum,Childcare,Out-of-school care,Within 1 km,4.6
116,Belcrum,Childcare,Out-of-school care,Within 3 km,21.6
117,Belcrum,Childcare,Out-of-school care,Within 5 km,66.9
120,Belcrum,Education,Primary education,Within 1 km,2.1
121,Belcrum,Education,Primary education,Within 3 km,12.7
122,Belcrum,Education,Primary education,Within 5 km,33.0
152,Belcrum,Health and well-being,General Practitioner's Practice,Within 1 km,1.2
153,Belcrum,Health and well-being,General Practitioner's Practice,Within 3 km,12.1
154,Belcrum,Health and well-being,General Practitioner's Practice,Within 5 km,28.0
156,Belcrum,Health and well-being,Hospital (excl. outpatient clinics),Within 10 km,2.3
157,Belcrum,Health and well-being,Hospital (excl. outpatient clinics),Within 20 km,3.0
158,Belcrum,Health and well-being,Hospital (excl. outpatient clinics),Within 5 km,2.0
160,Belcrum,Health and well-being,Hospital (incl. outpatient clinics),Within 10 km,2.4
161,Belcrum,Health and well-being,Hospital (incl. outpatient clinics),Within 20 km,5.3
162,Belcrum,Health and well-being,Hospital (incl. outpatient clinics),Within 5 km,2.0
168,Belcrum,Hospitality,Cafes etc.,Within 1 km,5.7
169,Belcrum,Hospitality,Cafes etc.,Within 3 km,98.9
170,Belcrum,Hospitality,Cafes etc.,Within 5 km,112.6
172,Belcrum,Hospitality,Cafeterias etc.,Within 1 km,12.3
173,Belcrum,Hospitality,Cafeterias etc.,Within 3 km,128.2
174,Belcrum,Hospitality,Cafeterias etc.,Within 5 km,170.5
176,Belcrum,Hospitality,Hotels etc.,Within 10 5km,20.0
