BUURT,green_score,livability_score,price,crime
Liesbos,29.57407407,2.581637327,4685,75
Ginneken,25.81825083,2.481303395,5074,181
Effen-Rith,31.08481481,2.462094457,4496,44
Boeimeer,29.21190785,2.356237796,4127,241
Bavel,30.3753169,2.355569671,4370,241
Bavel,30.3753169,2.355569671,4370,125
Waterdonken,15.70634921,2.305359958,3846,21
Prinsenbeek,26.76242038,2.305316176,4099,271
Prinsenbeek,26.76242038,2.305316176,4099,252
Westerpark,27.17729988,2.274140353,3572,125
Princenhage,24.95896792,2.266114002,3878,302
Mastbos,41.74285714,2.26294433,5404,81
Station,17.67173333,2.25406951,4822,461
Gageldonk,27.07272966,2.245403724,3186,138
Ypelaar,28.51316602,2.234451729,3482,265
Heusdenhout,31.34827856,2.214757232,3350,199
Valkenberg,23.85555556,2.207602401,4623,213
Belcrum,20.68463239,2.197534958,4231,385
Brabantpark,27.15010173,2.187167897,3828,432
City,9.984778122,2.169985145,4313,1191
Muizenberg,28.2196066,2.141595843,3292,97
Kesteren,26.1922379,2.029169329,3376,156
Haagpoort,19.07576453,1.992602057,3989,125
Fellenoord,15.75974178,1.961325232,4491,131
Biesdonk,26.11058981,1.80770752,2858,408
