title,totalScore,reviewsCount,street,city,state,countryCode,website,phone,categoryName,url,latitude,longitude
CocktailWorkz | Cocktail workshop Breda | Cocktailbar,5.0,3,Ginnekenweg 311A,Breda,,NL,https://cocktailworkz.nl/,+31 6 57663506,Cocktail bar,"https://www.google.com/maps/place/CocktailWorkz+%7C+Cocktail+workshop+Breda+%7C+Cocktailbar/@51.5692195,4.7844509,17z/data=!3m1!4b1!4m6!3m5!1s0x47c6a13855c50b2d:0xff4d5dbc7f86de54!8m2!3d51.5692195!4d4.7844509!16s%2Fg%2F11nwyq31h7?hl=en",51.5692195,4.7844509
Café Bar 't Keteltje,4.1,40,Vismarktstraat 4,Breda,,NL,https://barhetketeltje.nl/,+31 6 44171962,Cafe,"https://www.google.com/maps/place/Caf%C3%A9+Bar+'t+Keteltje/@51.589547,4.774286,17z/data=!3m1!4b1!4m6!3m5!1s0x47c69f864eb3f397:0x8793052b7ea446e6!8m2!3d51.589547!4d4.774286!16s%2Fg%2F1tnsr48m?hl=en",51.589547,4.774286
shots Breda,3.9,219,Vismarktstraat 24,Breda,,NL,http://www.shots-breda.nl/,+31 6 23855950,Pub,"https://www.google.com/maps/place/shots+Breda/@51.5897821,4.773671,17z/data=!3m1!4b1!4m6!3m5!1s0x47c69f86379d9b01:0x837ab15807e49e36!8m2!3d51.5897821!4d4.773671!16s%2Fg%2F11btx13_mc?hl=en",51.5897821,4.773671
Cafe Bril Jantje,4.2,50,Havermarkt 6,Breda,,NL,http://www.cafebriljantje.nl/,,Bar,"https://www.google.com/maps/place/Cafe+Bril+Jantje/@51.589409,4.7738601,17z/data=!3m1!4b1!4m6!3m5!1s0x47c69f864a7996b1:0xf9845978047c4b07!8m2!3d51.589409!4d4.7738601!16s%2Fg%2F11f_bzr6z9?hl=en",51.589409,4.7738601
Tapasbar Hacienda,4.6,197,Baronielaan 320,Breda,,NL,http://www.tapasbarhacienda.nl/,+31 76 532 0184,Tapas bar,"https://www.google.com/maps/place/Tapasbar+Hacienda/@51.567373,4.7761764,17z/data=!3m1!4b1!4m6!3m5!1s0x47c6a035c89816b3:0xc4613a033edda443!8m2!3d51.567373!4d4.7761764!16s%2Fg%2F11gh04l5dn?hl=en",51.567373,4.7761764
Gastrobar de Markt,4.1,458,Veemarktstraat 2,Breda,,NL,http://www.demarktbreda.nl/,+31 76 521 5122,Mediterranean restaurant,"https://www.google.com/maps/place/Gastrobar+de+Markt/@51.5880556,4.7766667,17z/data=!3m1!4b1!4m6!3m5!1s0x47c69f8715db4571:0xae9e376f267312c2!8m2!3d51.5880556!4d4.7766667!16s%2Fg%2F1pp2vdrjg?hl=en",51.5880556,4.7766667
The Boathouse Breda,4.5,196,Haven 10,Breda,,NL,http://www.theboathousebreda.nl/,+31 6 15507008,Restaurant,"https://www.google.com/maps/place/The+Boathouse+Breda/@51.5889973,4.772498,17z/data=!3m1!4b1!4m6!3m5!1s0x47c69fa2f7fc0499:0x22248dbccfb3004!8m2!3d51.5889973!4d4.772498!16s%2Fg%2F11sr9y_l4z?hl=en",51.5889973,4.772498
Teds Breda Botanique - All Day Brunch,4.1,42,Parade 12,Breda,,NL,https://teds-place.nl/breda-botanique-allday-brunch-coffees-cocktails/,+31 76 303 2932,Restaurant,"https://www.google.com/maps/place/Teds+Breda+Botanique+-+All+Day+Brunch/@51.584196,4.7797777,17z/data=!3m1!4b1!4m6!3m5!1s0x47c6a1992f52555b:0xf767e0d4b0b8de9f!8m2!3d51.584196!4d4.7797777!16s%2Fg%2F11k5466mxm?hl=en",51.584196,4.7797777
Wijnlokaal Breda,5.0,2,Wilhelminastraat 52,Breda,,NL,https://mijnwijncursus.nl/,+31 76 530 0013,Wine bar,"https://www.google.com/maps/place/Wijnlokaal+Breda/@51.5788666,4.7782332,17z/data=!3m1!4b1!4m6!3m5!1s0x47c6a02c36f45e09:0x492b12347762d23a!8m2!3d51.5788666!4d4.7782332!16s%2Fg%2F11b77pmc62?hl=en",51.5788666,4.7782332
De Feestfabriek,4.2,182,Visserstraat 7,Breda,,NL,,,Pub,"https://www.google.com/maps/place/De+Feestfabriek/@51.5886665,4.7730547,17z/data=!3m1!4b1!4m6!3m5!1s0x47c69f87cfd769fb:0x9707d2e6903ad306!8m2!3d51.5886665!4d4.7730547!16s%2Fg%2F11dxkbbm79?hl=en",51.5886665,4.7730547
Inspire Coffee Company B.V.,4.4,399,Veemarktstraat 4,Breda,,NL,https://www.inspirebreda.nl/,+31 76 515 3272,Bar,"https://www.google.com/maps/place/Inspire+Coffee+Company+B.V./@51.5880551,4.7769361,17z/data=!3m1!4b1!4m6!3m5!1s0x47c69f873ddea367:0x26839603f4d88c61!8m2!3d51.5880551!4d4.7769361!16s%2Fg%2F1tg80pc_?hl=en",51.5880551,4.7769361
