BUURT,green_score,livability_score,house_price,nr_crimes,sport_locations,charging_points
Liesbos,29.57407407,2.581637327,4685,75,0,1
Ginneken,25.81825083,2.481303395,5074,181,0,44
Effen-Rith,31.08481481,2.462094457,4496,44,0,0
Boeimeer,29.21190785,2.356237796,4127,241,3,33
Bavel,30.3753169,2.355569671,4370,241,1,12
Buitengebied Bavel,30.3753169,2.355569671,4370,125,1,12
Waterdonken,15.70634921,2.305359958,3846,21,0,7
Prinsenbeek,26.76242038,2.305316176,4099,271,6,29
Buitengebied Prinsenbeek,26.76242038,2.305316176,4099,252,6,29
Westerpark,27.17729988,2.274140353,3572,125,0,16
Princenhage,24.95896792,2.266114002,3878,302,2,42
Mastbos,41.74285714,2.26294433,5404,81,3,0
Station,17.67173333,2.25406951,4822,461,0,10
Gageldonk,27.07272966,2.245403724,3186,138,3,16
Ypelaar,28.51316602,2.234451729,3482,265,2,24
Heusdenhout,31.34827856,2.214757232,3350,199,0,19
Valkenberg,23.85555556,2.207602401,4623,213,0,18
Belcrum,20.68463239,2.197534958,4231,385,0,23
Brabantpark,27.15010173,2.187167897,3828,432,8,37
City,9.984778122,2.169985145,4313,1191,0,1
Muizenberg,28.2196066,2.141595843,3292,97,3,4
Kesteren,26.1922379,2.029169329,3376,156,0,11
Haagpoort,19.07576453,1.992602057,3989,125,0,8
Fellenoord,15.75974178,1.961325232,4491,131,0,6
Biesdonk,26.11058981,1.80770752,2858,408,1,14
