coordinates,names
"51.5846934, 4.776879",C&A
"51.5846934, 4.776879",Score
"51.5846934, 4.776879",Miss Etam
"51.5846934, 4.776879",Vodafone
"51.5846934, 4.776879",Handyman
"51.5846934, 4.776879",Hans Anders
"51.5846934, 4.776879",Ulla Popken
"51.5846934, 4.776879",Esprit
"51.5846934, 4.776879",Phone House
"51.5846934, 4.776879",Perry Sport
"51.5846934, 4.776879",Van Uffelen
"51.5846934, 4.776879",Kruidvat
"51.5846934, 4.776879",T-Mobile
"51.5846934, 4.776879",Topshopz
"51.5846934, 4.776879",Name It
"51.5846934, 4.776879",Eyewish
"51.5846934, 4.776879",Lucardi
"51.5846934, 4.776879",Wam Denim
"51.5846934, 4.776879",Snipes
"51.5846934, 4.776879",Pearle Opticiens
"51.5846934, 4.776879",Wibra
"51.5846934, 4.776879",SNS Winkel
"51.5846934, 4.776879",Cotton Club
"51.5846934, 4.776879",Distrikt
"51.5846934, 4.776879",Bargello
"51.5846934, 4.776879",Boekenvoordeel
"51.5846934, 4.776879",Aktiesport
"51.5846934, 4.776879",Linolux
"51.5846934, 4.776879",Holland & Barrett
"51.5846934, 4.776879",Vero Moda
"51.5846934, 4.776879",Open32
"51.5846934, 4.776879",Donna Li
"51.5846934, 4.776879",Only
"51.5846934, 4.776879",SONS
"51.5846934, 4.776879",CASA
"51.5846934, 4.776879",Sacha
"51.5846934, 4.776879",SoLow
"51.5846934, 4.776879",Algorithmic Perfumery
"51.5846934, 4.776879",Jeans Centre
"51.5846934, 4.776879",Gerry Weber
"51.5846934, 4.776879",CallStars
"51.5846934, 4.776879",America Today
"51.5846934, 4.776879",WE
"51.5846934, 4.776879",Mertens Oogmode
"51.5846934, 4.776879",Claires
"51.5846934, 4.776879",Diva Shoes
"51.5846934, 4.776879",Hema
"51.5846934, 4.776879",McFlek
"51.5846934, 4.776879",KPN Winkel
"51.5846934, 4.776879",Chasin’
"51.5846934, 4.776879",Blokker
"51.5846934, 4.776879",SPAR city store
"51.5846934, 4.776879",Zeeman
"51.5846934, 4.776879",Disini dameskleding
"51.5846934, 4.776879",JD Sports
"51.5846934, 4.776879",H&M
"51.5846934, 4.776879",GSM Specialist
"51.5846934, 4.776879",Søstrene Grene
"51.5846934, 4.776879",Sven & Sophie
"51.5846934, 4.776879",’t Ginneke Juwelier
"51.5848002,4.7761683",Brandfield
"51.5848002,4.7761683",Candles and Cards
"51.5848002,4.7761683",Rituals
"51.5848002,4.7761683",De Pindakaaswinkel
"51.5848002,4.7761683",Superdry
"51.5848002,4.7761683",Velvet
"51.5848002,4.7761683",Home Stock
"51.5848002,4.7761683",Dstrezzed
"51.5848002,4.7761683",Hutspot
"51.5848002,4.7761683",Jollywood
"51.5848002,4.7761683",Smaack Traiteur & Delicatessen
"51.5848002,4.7761683",Urban Bozz
"51.5848002,4.7761683",Be-you-tiful
"51.5848002,4.7761683",Cadeauwinkel WAAR
