longitude,latitude,OBJECTID,IDENTIFICATIE,NAAM,STRAAT,HUISNUMMER,HUISLETTER,HUISNUMMER_TOEVOEGING,POSTCODE,PLAATS,SPORT_SOORT,HOOFDBELEIDSVELD
4.750231121,51.59394784,306,4815NC003.07,Stadion toren 3,Stadionstraat,9,,,4815 NC,Breda,BUI - Voetbal,
4.855399834,51.55778745,307,4854NN002.01,Clubhuis Schietvereniging Sint Hubertus,Blookweg,2,,,4854 NN,Bavel,BUI - Schieten,
4.75809857,51.56390584,308,4837BW004.08,Tribune Atletiekvereniging Sprint,Dr. Schaepmanlaan,4,,,4837BW,Breda,BUI - Atletiek,
4.754077277,51.51934112,309,4836MC020.01,Toiletgebouw Galderse meren,Moerstraat,16,,,4836 ME,Breda,BUI - Zwemmen,
4.810380938,51.58617313,310,4817GN004.03,Slaghal Honk- en Softbal Club Jeka,Langveld,4,,,4817 GN,Breda,BUI - Honkbal,
4.752815858,51.57253653,311,4812GT110.00,Speeltuingebouw Heuvel,Heuvelbrink,110,,,4812 GT,Breda,BUI - Overig,
4.73989715,51.60339942,312,4824PN015B.01,Kleedkamers Voetbalvereniging The Gunners,Wikketuin,15,B,,4824 PN,Breda,BUI - Voetbal,
4.803140639,51.5598128,313,4834SN105.07,Machine- en kleedruimte,Wolfslaardreef,105,,,4834 SN,Breda,BUI - Zwemmen,
4.782333725,51.55150507,314,4836AC051.4,Modelspoorbaan clubhuis,Reeptiend,23,,,4836 AT,Breda,BUI - Overig,
4.708671613,51.60551487,315,4841EG037.51,Clubhuis Tennisvereniging Prinsenbeek,Heikantsestraat,37,A,,4841 EG,Prinsenbeek,BUI - Tennis,
4.706633064,51.60102052,316,4841NA015.00,Sporthal de Heisprong,Heisprong,15,,,4841 NA,Prinsenbeek,BIN - Sporthal,
4.826445716,51.55760901,317,4854PN005.05,Clubhuis Tennisvereniging Bavel,Bavelse Hei,5,,,4854 PN,Bavel,BUI - Tennis,
4.797811816,51.55648362,318,4851AT004.56,Clubhuis Ulvenhoutse Tennisvereniging,Jeugdland,4,,,4851 AT,Ulvenhout,BUI - Tennis,
4.776431388,51.6159294,319,4826AB512.04,Clubhuis Tennisverenigng Breda Noord,Terheijdenseweg,508,,,4826 AB,Breda,BUI - Tennis,
